This file created by XXX
108 	 1.91 	 0.09 	 0.092 	 0.685 
 77 	 0.84 	 0.32 	 0.059 	 0.561 
181 	 1.79 	 0.03 	 0.044 	 0.525 
223 	 0.90 	 0.27 	 0.016 	 0.356 
314 	 0.06 	 0.63 	 0.010 	 0.332 
149 	 0.27 	 0.51 	 0.070 	 0.851 
123 	 0.92 	 0.34 	 0.063 	 0.430 
 36 	 1.33 	 0.06 	 0.065 	 0.585 
132 	 0.38 	 0.77 	 0.090 	 0.246 
300 	 1.21 	 0.70 	 0.052 	 0.680 
321 	 1.82 	 0.46 	 0.060 	 0.589 
195 	 1.73 	 0.82 	 0.079 	 0.140 
 44 	 1.58 	 0.81 	 0.053 	 0.581 
288 	 1.79 	 0.26 	 0.018 	 0.889 
303 	 0.13 	 0.35 	 0.006 	 0.210 
 10 	 1.09 	 0.53 	 0.026 	 0.260 
351 	 1.87 	 0.67 	 0.015 	 0.794 
149 	 1.16 	 0.66 	 0.039 	 0.225 
205 	 1.99 	 0.09 	 0.036 	 0.130 
  7 	 1.58 	 0.68 	 0.053 	 0.918 
392 	 0.84 	 0.62 	 0.037 	 0.230 
150 	 0.02 	 0.75 	 0.014 	 0.873 
192 	 0.69 	 0.73 	 0.031 	 0.268 
356 	 1.00 	 0.09 	 0.026 	 0.591 
  7 	 0.53 	 0.16 	 0.077 	 0.129 
373 	 1.59 	 0.06 	 0.091 	 0.825 
390 	 1.00 	 0.96 	 0.067 	 0.184 
 56 	 0.21 	 0.11 	 0.064 	 0.409 
135 	 1.87 	 0.37 	 0.034 	 0.763 
301 	 1.22 	 0.51 	 0.075 	 0.987 
243 	 0.93 	 0.48 	 0.049 	 0.866 
275 	 1.74 	 0.58 	 0.033 	 0.982 
285 	 1.94 	 0.19 	 0.057 	 0.724 
271 	 0.27 	 0.22 	 0.062 	 0.526 
 50 	 1.54 	 0.31 	 0.012 	 0.280 
208 	 0.55 	 0.49 	 0.017 	 0.726 
  6 	 0.81 	 0.74 	 0.009 	 0.752 
126 	 1.15 	 0.03 	 0.069 	 0.773 
252 	 1.92 	 0.40 	 0.015 	 0.415 
190 	 0.14 	 0.10 	 0.002 	 0.219 
386 	 0.76 	 0.80 	 0.096 	 0.476 
139 	 0.11 	 0.44 	 0.072 	 0.874 
297 	 0.83 	 0.42 	 0.067 	 0.640 
  5 	 0.83 	 0.27 	 0.086 	 0.814 
398 	 1.83 	 0.79 	 0.086 	 0.543 
166 	 0.96 	 0.80 	 0.080 	 0.487 
 93 	 1.20 	 0.07 	 0.086 	 0.130 
399 	 0.03 	 0.10 	 0.012 	 0.683 
102 	 0.53 	 0.17 	 0.004 	 0.203 
 77 	 0.44 	 0.80 	 0.042 	 0.666 
 34 	 0.14 	 0.32 	 0.043 	 0.839 
312 	 1.15 	 0.76 	 0.026 	 0.708 
254 	 0.54 	 0.73 	 0.071 	 0.665 
 62 	 0.02 	 0.51 	 0.071 	 0.452 
132 	 1.27 	 0.24 	 0.012 	 0.538 
162 	 2.00 	 0.21 	 0.034 	 0.923 
  9 	 1.98 	 0.21 	 0.059 	 0.569 
305 	 0.36 	 0.75 	 0.046 	 0.308 
105 	 1.04 	 0.68 	 0.021 	 0.720 
245 	 0.76 	 0.00 	 0.058 	 0.322 
244 	 0.43 	 0.40 	 0.077 	 0.831 
 21 	 1.56 	 0.69 	 0.098 	 0.586 
  6 	 1.20 	 0.62 	 0.054 	 0.903 
156 	 0.49 	 0.56 	 0.073 	 0.329 
 46 	 1.43 	 0.78 	 0.089 	 0.736 
138 	 1.19 	 0.86 	 0.034 	 0.743 
167 	 1.42 	 0.85 	 0.074 	 0.480 
222 	 1.66 	 0.11 	 0.040 	 0.760 
236 	 1.41 	 0.83 	 0.077 	 0.674 
181 	 1.93 	 0.85 	 0.021 	 0.650 
255 	 0.78 	 0.05 	 0.031 	 0.293 
118 	 0.91 	 0.60 	 0.029 	 0.193 
197 	 1.02 	 0.87 	 0.039 	 0.243 
144 	 1.33 	 0.29 	 0.029 	 0.913 
268 	 1.75 	 0.94 	 0.039 	 0.498 
329 	 0.91 	 0.38 	 0.098 	 0.956 
381 	 1.01 	 0.57 	 0.035 	 0.366 
259 	 0.31 	 0.47 	 0.012 	 0.247 
294 	 0.57 	 0.42 	 0.045 	 0.403 
160 	 1.45 	 0.79 	 0.095 	 0.520 
314 	 1.37 	 0.05 	 0.099 	 0.220 
145 	 1.74 	 0.78 	 0.082 	 0.588 
  9 	 1.57 	 0.49 	 0.069 	 0.679 
179 	 1.16 	 0.52 	 0.069 	 0.151 
216 	 0.05 	 0.14 	 0.079 	 0.621 
360 	 0.76 	 0.58 	 0.071 	 0.900 
 25 	 0.21 	 0.76 	 0.034 	 0.882 
139 	 0.82 	 0.20 	 0.011 	 0.557 
387 	 1.05 	 0.83 	 0.084 	 0.731 
 40 	 1.37 	 0.06 	 0.087 	 0.797 
361 	 0.38 	 0.41 	 0.068 	 0.195 
165 	 0.22 	 0.68 	 0.045 	 0.133 
207 	 1.83 	 0.40 	 0.076 	 0.808 
161 	 1.13 	 0.39 	 0.077 	 0.563 
344 	 0.84 	 0.44 	 0.020 	 0.666 
368 	 0.20 	 0.14 	 0.075 	 0.700 
306 	 1.60 	 0.11 	 0.089 	 0.363 
 26 	 1.44 	 0.75 	 0.039 	 0.825 
348 	 0.02 	 0.47 	 0.020 	 0.692 
 85 	 0.28 	 0.52 	 0.046 	 0.815 
305 	 0.86 	 0.34 	 0.074 	 0.797 
211 	 0.24 	 0.21 	 0.058 	 0.146 
369 	 1.48 	 0.73 	 0.032 	 0.986 
331 	 0.34 	 0.71 	 0.088 	 0.380 
 48 	 1.27 	 0.31 	 0.013 	 0.911 
118 	 0.15 	 0.68 	 0.006 	 0.315 
  9 	 1.36 	 0.52 	 0.028 	 0.616 
358 	 0.83 	 0.46 	 0.024 	 0.805 
230 	 0.31 	 0.56 	 0.033 	 0.551 
173 	 0.96 	 0.18 	 0.009 	 0.811 
167 	 1.31 	 0.89 	 0.056 	 0.298 
 10 	 1.85 	 0.61 	 0.094 	 0.138 
 29 	 1.36 	 0.32 	 0.007 	 0.426 
243 	 0.25 	 0.84 	 0.052 	 0.123 
 74 	 0.21 	 0.64 	 0.021 	 0.203 
265 	 1.17 	 0.59 	 0.021 	 0.874 
359 	 0.50 	 0.47 	 0.043 	 0.367 
127 	 1.04 	 0.16 	 0.082 	 0.530 
 41 	 0.64 	 0.46 	 0.048 	 0.704 
258 	 1.31 	 0.22 	 0.059 	 0.670 
121 	 1.32 	 0.25 	 0.021 	 0.755 
220 	 0.32 	 0.60 	 0.090 	 0.393 
124 	 1.48 	 0.60 	 0.025 	 0.948 
291 	 1.74 	 0.80 	 0.098 	 0.535 
289 	 1.21 	 0.86 	 0.016 	 0.682 
257 	 0.65 	 0.87 	 0.085 	 0.324 
162 	 1.27 	 0.90 	 0.030 	 0.297 
 63 	 0.63 	 0.58 	 0.047 	 0.973 
 66 	 0.23 	 0.27 	 0.010 	 0.136 
335 	 0.94 	 0.09 	 0.017 	 0.500 
233 	 1.56 	 0.34 	 0.077 	 0.529 
 95 	 1.54 	 0.56 	 0.062 	 0.479 
183 	 1.36 	 0.16 	 0.100 	 0.310 
394 	 0.20 	 0.63 	 0.054 	 0.928 
 11 	 0.87 	 0.20 	 0.094 	 0.207 
335 	 1.46 	 0.86 	 0.039 	 0.843 
101 	 0.66 	 0.56 	 0.045 	 0.641 
348 	 1.64 	 0.67 	 0.023 	 0.437 
175 	 0.41 	 0.80 	 0.091 	 0.182 
 17 	 1.47 	 0.56 	 0.091 	 0.263 
 40 	 1.32 	 0.94 	 0.083 	 0.783 
 55 	 0.69 	 0.28 	 0.024 	 0.651 
301 	 0.82 	 0.65 	 0.027 	 0.704 
160 	 0.80 	 0.60 	 0.078 	 0.868 
109 	 0.97 	 0.05 	 0.098 	 0.379 
248 	 0.36 	 0.51 	 0.036 	 0.606 
107 	 0.53 	 0.71 	 0.001 	 0.140 
349 	 0.19 	 0.57 	 0.095 	 0.298 
 46 	 1.15 	 0.19 	 0.001 	 0.492 
112 	 1.58 	 0.56 	 0.009 	 0.317 
376 	 0.77 	 0.03 	 0.025 	 0.417 
204 	 0.27 	 0.20 	 0.091 	 0.138 
  0 	 0.34 	 0.83 	 0.047 	 0.209 
332 	 0.60 	 0.04 	 0.067 	 0.490 
